brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
HYUNDAI  i20,I20 1.25i LP Fresh 1 év garancia / ÁFÁS / magyarországi,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 05.,83 100 km,3 790 000 Ft
PEUGEOT  308,308 SW 1.6 BlueHDi Allure,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2018. 03.,127 440 km,4 199 000 Ft
FORD  Focus,Focus 1.0 EcoBoost Technology S/S,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2017. 05.,41 416 km,4 499 000 Ft
KIA  Stonic,STONIC 1.25 MPI EX Limited ÁFÁS / sérülésmentes / magyarországi / 1 tulaj / téligumi garnitúra,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 09.,121 904 km,4 790 000 Ft
SKODA  Superb,SUPERB 1.4 TSI ACT Ambition 1 év garancia / magyarországi / sérülésmentes / friss szervízzel,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2017. 04.,94 261 km,6 950 000 Ft
VOLVO  S60,S60 2.0 ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 10.,59 500 km,7 480 000 Ft
SKODA  Superb,SUPERB Combi 2.0 TSI L&K DSG 1 év garancia / ÁFÁS / sérülésmentes / magyarországi / 1 tulajdonsotól,Auto Palace Buda Kft.,(XI. kerület),Márkakereskedő,2018. 02.,99 000 km,8 990 000 Ft
BMW  X2,X2 sDrive20d Advantage Aut.,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 06.,57 000 km,9 480 000 Ft
SKODA  Superb,Superb 2.0 TDI SCR Style,Expressive Automobil Kft.,(Debrecen),Minősített Prémium kereskedő,2020. 05.,114 000 km,9 899 000 Ft
BMW  5-ös sorozat,530e Aut.,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2019. 10.,62 632 km,13 799 000 Ft
MERCEDES-BENZ  GLC-osztály,GLC 250 4Matic 9G-TRONIC,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2018. 04.,80 511 km,13 999 000 Ft
VOLKSWAGEN  Polo,Polo 1.0 TSI Comfortline DSG,Expressive Automobil Kft.,(Debrecen),Minősített Prémium kereskedő,2021. 07.,41 000 km,6 999 000 Ft
FORD  Ranger,Ranger 2.0 TDCi 4x4 Wild Trak Aut.,Maxliner Hungary Kft.,(Mátészalka),Minősített Prémium kereskedő,2022. 08.,2 500 km,18 990 000 Ft
PEUGEOT  208,208 1.6 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 09.,146 620 km,1 889 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 01.,198 878 km,1 989 000 Ft  + Áfa
CITROEN  C3,C3 1.6 BlueHDi Profi ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 07.,135 500 km,1 989 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 01.,198 878 km,2 089 000 Ft  + Áfa
CITROEN  C3,C3 1.0 PureTech Vitamin ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2015. 02.,115 094 km,2 099 000 Ft
OPEL  Corsa,Corsa 1.3 CDTI Van Start-Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 07.,159 266 km,2 189 000 Ft  + Áfa
DACIA  Logan,LOGAN II MCV 0.9 TCe Arctic Mo-i - EGYGAZDÁS - SÉRÜLÉSMENTES - FRISS SZERVIZ!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2013. 01.,181 966 km,2 198 000 Ft
OPEL  Combo,Combo Van 1.4 T CNG L1H1 2.4t E6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 02.,122 572 km,2 289 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 01.,159 790 km,2 289 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 12.,197 496 km,2 289 000 Ft  + Áfa
RENAULT  Kangoo,Kangoo Express 1.5 dCi Comfort Start&Stop Euro6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 01.,187 128 km,2 289 000 Ft  + Áfa
FIAT  Panda,Panda 1.2 8V Pop EU6 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2015. 12.,120 910 km,2 299 000 Ft
DACIA  Dokker,DOKKER Van 1.5 dCi Ambiance 1Év garanciával!Magyarországi!Leinformálható!Áfás!Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 05.,119 000 km,2 299 000 Ft  + Áfa
OPEL  Combo,Combo Van 1.4 T CNG L1H1 2.4t E6,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2015. 02.,120 390 km,2 299 000 Ft  + Áfa
PEUGEOT  208,208 1.5 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 05.,167 619 km,2 349 000 Ft  + Áfa
SKODA  Fabia,Fabia Combi 1.2 TSi Ambition ,B-A Autókereskedés és Autókölcsönző,(Keszthely),Minősített Prémium kereskedő,2013. 12.,116 050 km,2 350 000 Ft
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 03.,198 834 km,2 389 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 04.,153 717 km,2 389 000 Ft  + Áfa
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 03.,160 666 km,2 489 000 Ft  + Áfa
PEUGEOT  301,301 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 11.,126 348 km,2 489 000 Ft
DACIA  Dokker,DOKKER VAN 1.5 dCi Ambiance Mo-i - VALÓS 93e KM FUTÁS - ELSŐ TULAJDONOSTÓL - FRISS VIZSGA!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,93 715 km,2 498 000 Ft  + Áfa
OPEL  Combo,Combo Van 1.3 CDTI L1H1 2.2t ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 10.,80 584 km,2 589 000 Ft  + Áfa
PEUGEOT  208,208 1.5 BlueHDi Van Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2020. 01.,122 592 km,2 589 000 Ft  + Áfa
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 05.,143 756 km,2 589 000 Ft  + Áfa
CITROEN  C3,C3 1.5 BlueHDi Profi S&S Mo-i - EGYGAZDÁS - SZÉP ÁLLAPOT - SZERVIZKÖNYV - GYÁRI FÉNYEZÉS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,133 298 km,2 598 000 Ft  + Áfa
SKODA  Fabia,FABIA 1.0 Easy SÉRÜLÉSMENTES - 74e KM FUTÁSSAL!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,74 563 km,2 598 000 Ft
LADA  Kalina,Kalina 1.6 Lux,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2017. 01.,70 256 km,2 599 000 Ft
FORD  Focus,Focus 1.0 EcoBoost Trend ,Hexa Autókereskedés,(Nyíregyháza),Minősített Prémium kereskedő,2017. 08.,179 000 km,2 649 000 Ft
FORD  Fiesta,Fiesta 1.25 Technology ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2014. 07.,130 888 km,2 685 000 Ft
PEUGEOT  Partner,Partner 1.6 BlueHDi Active L1 EURO6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 10.,139 950 km,2 689 000 Ft  + Áfa
PEUGEOT  Partner,Partner 1.6 BlueHDi Active L1 EURO6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 10.,137 722 km,2 689 000 Ft  + Áfa
OPEL  Combo,"1.6 CDTi 2.2t. M.o.-i, szervizkönyves, Polcos!",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 04.,148 759 km,2 689 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2018. 04.,93 966 km,2 689 000 Ft  + Áfa
OPEL  Combo,1.6 CDTi 2.2t. Magyarországi szervizkönyves!,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 04.,148 394 km,2 689 000 Ft  + Áfa
CITROEN  C3,C3 1.5 BlueHDi Profi S&S Mo-i - SZÉP ÁLLAPOT - SZERVIZKÖNYVES - GYÁRI FÉNYEZÉS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,110 187 km,2 698 000 Ft  + Áfa
CITROEN  C3,C3 1.5 BlueHDi Profi S&S Mo-i - EGYGAZDÁS - SZÉP ÁLLAPOT - SZERVIZKÖNYV - GYÁRI FÉNYEZÉS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2019. 01.,124 924 km,2 698 000 Ft  + Áfa
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2019. 05.,168 382 km,2 699 000 Ft  + Áfa
OPEL  Combo,"1.6 CDTi 2.2t. M.o-i szervizkönyves, polcos!",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 04.,125 012 km,2 789 000 Ft  + Áfa
OPEL  Corsa,Corsa 1.3 CDTI Enjoy Start-Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 04.,175 128 km,2 789 000 Ft
PEUGEOT  208,208 1.6 BlueHDi Active ,Bázis Autó,(Hódmezővásárhely),Minősített Prémium kereskedő,2018. 06.,183 223 km,2 790 000 Ft
OPEL  Adam,Adam 1.4 Glam,MOM Auto Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 02.,137 000 km,2 799 000 Ft
NISSAN  Note,NOTE 1.5 dCi Visia EURO6 1 Év garanciával!Magyarországi! Leinformálható! Törésmentes! Azonnal Elvihető!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2016. 09.,103 162 km,2 799 000 Ft
OPEL  Astra,Astra Sports Tourer 1.7 CDTI Active ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2013. 10.,168 679 km,2 799 000 Ft
SKODA  Fabia,Fabia 1.2 TSi Ambition,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2016. 11.,181 253 km,2 799 000 Ft
OPEL  Astra,Astra 1.4 Enjoy ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2014. 09.,160 832 km,2 849 000 Ft
PEUGEOT  Partner,Partner 1.6 BlueHDi Active L1 EURO6,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2017. 10.,122 100 km,2 910 000 Ft  + Áfa
PEUGEOT  208,208 1.6 BlueHDi Style,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2018. 07.,100 300 km,2 990 000 Ft
SKODA  Rapid,RAPID 1.2 TSI Ambition Mo-i - VÉGIG SZERVIZELT - MEGKÍMÉLT ÁLLAPOTÚ!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,178 095 km,2 998 000 Ft
PEUGEOT  2008,2008 1.2 VTi PureTech Active 1 Év garanciávalMagyarországi! 68.125km!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 03.,68 000 km,2 999 000 Ft
FIAT  500,500 1.2 8V Lounge EU6,SunsetCars,(Tatabánya),Minősített Prémium kereskedő,2013. 11.,101 690 km,2 999 000 Ft
FORD  Fiesta,Fiesta 1.25 Ambiente,Rubin Autókereskedés,(Pápa),Minősített Prémium kereskedő,2015. 06.,107 169 km,2 999 000 Ft
OPEL  Adam,ADAM 1.4 Slam EURO6 LEKÉRDEZHETŐ 59e KM FUTÁS - FÉLBŐR - DIGIT KLÍMA!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,59 011 km,3 098 000 Ft
PEUGEOT  2008,2008 1.2 PureTech Active ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 01.,138 300 km,2 980 000 Ft
RENAULT  Clio,Clio Société 1.5 dCi Business Start&Stop ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 01.,83 165 km,3 189 000 Ft  + Áfa
OPEL  Astra,Astra Sedan 1.6 Enjoy EURO6 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2017. 02.,188 531 km,3 199 000 Ft
PEUGEOT  Partner,Partner 1.6 BlueHDi Active L2 EURO6,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2017. 12.,139 158 km,3 199 000 Ft  + Áfa
OPEL  Astra,Astra Sedan 1.6 Enjoy EURO6 ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2017. 02.,188 531 km,3 199 000 Ft
TOYOTA  Auris,Auris Touring Sports 1.33 Live,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2014. 03.,173 035 km,3 199 000 Ft
PEUGEOT  2008,2008 1.2 e-VTi Active 2TR,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2014. 05.,164 000 km,3 199 000 Ft
HYUNDAI  i30,i30 1.4i Comfort,Rubin Autókereskedés,(Pápa),Minősített Prémium kereskedő,2013. 11.,133 980 km,3 199 000 Ft
SEAT  Toledo,Toledo 1.2 TSI Reference Start&Stop,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2017. 08.,140 142 km,3 290 000 Ft
CITROEN  C4 Picasso,C4 Picasso 1.6 VTi Intensive ,Master Car,(Szolnok),Minősített Prémium kereskedő,2013. 10.,125 616 km,3 290 000 Ft
OPEL  Astra,Astra 1.6 Selection ,Vorenus Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2014. 05.,144 000 km,3 299 000 Ft
PEUGEOT  308,308 SW 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2017. 11.,186 720 km,3 389 000 Ft
FORD  Focus,Focus 1.6 Ti-VCT Ambiente ,MOM Auto Kft.,(III. kerület),Minősített Prémium kereskedő,2014. 01.,68 000 km,3 390 000 Ft
RENAULT  Clio,CLIO Grandtour 1.2 16V Life SÉRÜLÉSMENTES - 97e KM FUTÁS - MÁSODIK TULAJTÓL!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2016. 01.,97 641 km,3 398 000 Ft
SKODA  Rapid,RAPID 1.0 Tsi Ambition 1 Év garanciávalMagyarországi!Leinformálható!Áfás!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 09.,176 000 km,3 399 000 Ft
FORD  Focus,Focus 1.5 TDCI Technology ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2015. 09.,165 804 km,3 399 000 Ft
SEAT  Ibiza,Ibiza 1.0 TSI Start&Stop Reference,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2017. 06.,81 000 km,3 399 000 Ft
SEAT  Toledo,Toledo 1.0 TSI Reference ,Tipp Autó,(Debrecen),Márkakereskedő,2017. 12.,146 869 km,3 449 000 Ft
PEUGEOT  iOn,iOn Active CVT ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 06.,20 549 km,3 489 000 Ft
DACIA  Duster,Duster 1.5 dCi Arctic ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2014. 05.,153 148 km,3 490 000 Ft
RENAULT  Captur,Captur 0.9 TCe Energy Life S&S ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2015. 04.,89 760 km,3 490 000 Ft
SKODA  Fabia,Fabia 1.2 Tsi Ambition ,Tipp Autó,(Debrecen),Márkakereskedő,2016. 11.,114 423 km,3 490 000 Ft
CITROEN  C4,C4 1.6 BlueHDi Shine S&S ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2016. 01.,180 139 km,3 490 000 Ft
OPEL  Crossland X,CROSSLAND X 1.2 Innovation Mo-i - VÉGIG MÁRKASZERVIZES - AKCIÓS VÉTELÁR!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2018. 01.,151 669 km,3 498 000 Ft
OPEL  Astra,Astra 1.4 T Cosmo ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2014. 07.,111 723 km,3 499 000 Ft
KIA  Picanto,Picanto 1.0 MPI Winter Edition ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2019. 04.,114 890 km,3 499 000 Ft
FIAT  500L,500L 0.9 TwinAir Lounge S&S,SunsetCars,(Tatabánya),Minősített Prémium kereskedő,2014. 04.,141 230 km,3 499 000 Ft
FORD  Focus,Focus 1.6 Ti-VCT Technology,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2015. 01.,169 616 km,3 499 000 Ft
FIAT  Fiorino,FIORINO 1.3 Mjet E6 KAVOSZ!1 Év garanciával!Magyarországi!Leinformálható!31EKM!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2019. 11.,31 000 km,3 499 000 Ft  + Áfa
DACIA  Logan,Logan MCV 1.2 Arctic EURO6 ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2017. 08.,37 922 km,3 499 999 Ft
PEUGEOT  308,ACTIVE 1.6 e-HDI (1 ÉV GARANCIA),Men's Car Kft.,(Győr),Minősített Prémium kereskedő,2017. 08.,175 045 km,3 550 000 Ft
FIAT  Dobló,Dobló Cargo 1.3 Mjet SX E6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2020. 02.,113 612 km,3 589 000 Ft  + Áfa
HYUNDAI  i20,i20 1.25i HP Panorama ,B-A Autókereskedés és Autókölcsönző,(Keszthely),Minősített Prémium kereskedő,2014. 12.,81 455 km,3 590 000 Ft
SKODA  Rapid,Rapid Spaceback 1.6 CR TDI Elegance Start&Stop ,MOM Auto Kft.,(III. kerület),Minősített Prémium kereskedő,2015. 11.,79 000 km,3 590 000 Ft
PEUGEOT  308,308 SW 1.2 PureTech Active Mo-i - EGYGAZDÁS - VÉGIG MÁRKASZERVIZES - AKCIÓS!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,88 720 km,3 598 000 Ft
FORD  Fiesta,FIESTA VII 1.25 Titanium Technology EURO6 Mo-i - ELEKTRONIKUS MÚLTTAL - ELSŐ TULAJDONOSTÓL!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,90 534 km,3 598 000 Ft
DACIA  Duster,DUSTER 1.6 Arctic Mo-i - VALÓS 92e KM FUTÁS - ELSŐ TULAJDONOSTÓL!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2015. 01.,92 905 km,3 598 000 Ft
SKODA  Octavia,Octavia 1.4 TSI Ambition,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2014. 11.,169 000 km,3 599 000 Ft
OPEL  Astra,ASTRA K Sports Tourer 1.6 CDTI Start-Stop Enjoy Több darab!1 Év garanciávalMagyarországi!Áfás!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 06.,189 000 km,3 599 000 Ft
OPEL  Astra,ASTRA K Sports Tourer 1.6 CDTI Start-Stop Enjoy Több darab!1 Év garanciávalMagyarországi!Áfás!Dupla digitális klíma!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 11.,181 000 km,3 599 000 Ft
HYUNDAI  i30,i30 Kombi 1.6 CRDi MP Life,Globe-Auto Kft.,(Mezőkövesd),Minősített Prémium kereskedő,2018. 06.,198 584 km,3 599 000 Ft
OPEL  Astra,Astra Sports Tourer 1.6 CDTI Start-Stop Excite ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2018. 11.,180 811 km,3 599 999 Ft
RENAULT  Scénic,Grand Scénic 1.2 TCe Energy Limited (7 személyes ) ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2016. 05.,116 530 km,3 680 000 Ft
DACIA  Dokker,Dokker 1.5 dCi Stepway ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2016. 02.,123 960 km,3 680 000 Ft
RENAULT  Clio,Clio Grandtour 0.9 TCe Limited ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2018. 05.,75 789 km,3 690 000 Ft
DACIA  Sandero,Sandero 1.0 SCe Essential,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2021. 07.,66 700 km,3 690 000 Ft
HYUNDAI  i30,i30 1.6 CRDi LP Travel ,MOM Auto Kft.,(III. kerület),Minősített Prémium kereskedő,2018. 07.,198 000 km,3 690 000 Ft
FORD  Focus,Focus Kombi 1.5 TDCI Technology,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2016. 07.,155 000 km,3 590 000 Ft
FORD  B-Max,B-Max 1.4 Technology ,Master Car,(Szolnok),Minősített Prémium kereskedő,2014. 04.,46 286 km,3 690 000 Ft
KIA  Picanto,PICANTO 1.0 LX Limitált Mo-i - EGYGAZDÁS - 20e KM - GYÁRI GARANCIA!!!,Roland-Autó Kft.,(Edelény),Minősített Prémium kereskedő,2017. 01.,20 921 km,3 698 000 Ft
OPEL  Astra,ASTRA K Sports Tourer 1.6 CDTI Start-Stop Enjoy 136 LE!Több darab!1 Év garanciávalMagyarországi!Áfás!,BK 2020 Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 06.,179 000 km,3 699 000 Ft
PEUGEOT  2008,2008 1.2 PureTech Allure,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2016. 07.,116 000 km,3 699 000 Ft
OPEL  Astra,Astra Sedan 1.6 Enjoy EURO6 ,3G Car Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2018. 07.,83 373 km,3 699 900 Ft
SKODA  Rapid,Rapid Spaceback 1.6 CR TDI Ambition,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2018. 08.,144 149 km,3 750 000 Ft
SMART  Fortwo,Fortwo 1.0 Passion ,Bécsi Autópark Kft.,(III. kerület),Minősített Prémium kereskedő,2017. 05.,1 700 km,3 780 000 Ft
CITROEN  Berlingo,Berlingo 1.6 BlueHDi Comfort L1 EURO6 ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2019. 03.,139 706 km,3 789 000 Ft  + Áfa
SEAT  Toledo,Toledo 1.0 TSI Reference ,Tipp Autó,(Debrecen),Márkakereskedő,2017. 12.,112 170 km,3 790 000 Ft
SKODA  Rapid,Rapid Spaceback 1.6 CR TDI Ambition,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2018. 08.,147 145 km,3 750 000 Ft
VOLKSWAGEN  Caddy,Caddy 2.0 TDI SCR BMT ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 05.,177 255 km,3 799 000 Ft  + Áfa
VOLKSWAGEN  Caddy,Caddy 2.0 TDI SCR BMT ,Joker Jármű,(Kecskemét),Minősített Prémium kereskedő,2016. 05.,177 255 km,3 799 000 Ft  + Áfa
OPEL  Zafira,Zafira Tourer 1.6 CDTI Active (7 személyes ) ,Bull-Car Kft.,(Kaposvár),Minősített Prémium kereskedő,2014. 07.,164 142 km,3 799 000 Ft
PEUGEOT  2008,2008 1.2 PureTech Allure S&S ,B-A Autókereskedés és Autókölcsönző,(Keszthely),Minősített Prémium kereskedő,2015. 07.,101 800 km,3 799 000 Ft
VOLKSWAGEN  Up!,e-Up!,Autó Néró Kelenföld Kft.,(XI. kerület),Minősített Prémium kereskedő,2015. 04.,55 000 km,3 799 000 Ft
OPEL  Astra,Astra Sports Tourer 1.6 Business EURO6 ,Vorenus Kft.,(Nyíregyháza),Minősített Prémium kereskedő,2016. 09.,122 000 km,3 850 000 Ft
RENAULT  Trafic,"Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 03.,178 981 km,3 889 000 Ft  + Áfa
PEUGEOT  308,308 SW 1.6 BlueHDi Active ,Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2016. 11.,84 182 km,3 889 000 Ft
RENAULT  Trafic,"Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 03.,178 981 km,3 889 000 Ft  + Áfa
RENAULT  Trafic,"Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 02.,193 300 km,3 889 000 Ft  + Áfa
RENAULT  Trafic,"Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 03.,167 682 km,3 889 000 Ft  + Áfa
DACIA  Dokker,Dokker 1.6 Arctic ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2017. 12.,123 850 km,3 890 000 Ft
TOYOTA  Auris,Auris 2.0 D-4D Lounge ,Master Car,(Szolnok),Minősített Prémium kereskedő,2013. 09.,157 791 km,3 890 000 Ft
FORD  Focus,Focus 1.5 EcoBoost Technology S S ,Fábián Kft.,(XI. kerület),Márkakereskedő,2015. 10.,177 215 km,3 900 000 Ft
OPEL  Adam,GLAM 1.4i 16V ECOTEC (1 ÉV GARANCIA),Men's Car Kft.,(Győr),Minősített Prémium kereskedő,2017. 04.,58 687 km,3 900 000 Ft
RENAULT  Trafic,"Trafic 1.6 dCi 120 L1H1 2,9t Pack Comfort S&S ",Tromf-Car Kft.,(XIX. kerület),Minősített Prémium kereskedő,2015. 03.,153 364 km,3 989 000 Ft  + Áfa
OPEL  Astra,Astra 1.4 T Start-Stop Enjoy,Bálint AGRO Kft.,(Vértesszőlős),Minősített Prémium kereskedő,2016. 03.,140 080 km,3 990 000 Ft
SKODA  Rapid,Rapid Spaceback 1.6 CR TDI Ambition,Postaautó Duna Zrt.,(Debrecen),Márkakereskedő,2018. 08.,110 747 km,3 990 000 Ft
OPEL  Mokka,Mokka 1.6 CDTI Cosmo Start-Stop ,M3 Autópark Kft.,(XV. kerület),Minősített Prémium kereskedő,2015. 06.,168 242 km,3 990 000 Ft
PEUGEOT  2008,2008 1.6 BlueHDi Style ,Meszlényi-Autó Kft.,(Békéscsaba),Márkakereskedő,2016. 06.,62 704 km,3 990 000 Ft
HYUNDAI  i20,i20 1.25 LP Life Plus ,Tipp Autó,(Debrecen),Márkakereskedő,2019. 07.,92 685 km,3 990 000 Ft
