brand_mf,type,dealership_name,dealership_loc,dealership_evaluation,year,km,price
HONDA  Civic,Civic Tourer 1.6 i-DTEC Elegance,JIB Auto,(Debrecen),Minősített Prémium kereskedő,2014. 02.,112 866 km,4 490 000 Ft
OPEL  Astra,Astra 1.6 GTC Enjoy,Magánszemély,(Bátya),Minősített magánszemély,2005. 07.,249 827 km,1 200 000 Ft
PEUGEOT  Partner,Partner 1.6 HDi 190 C,Magánszemély,(Szombathely),Minősített magánszemély,2008. 05.,241 000 km,1 300 000 Ft
NISSAN  Almera,Almera 1.5 Visia AC,Magánszemély,(XIII. kerület),Nem minősített eladó,2005. 08.,115 600 km,1 300 000 Ft
CHRYSLER  PT Cruiser,PT Cruiser 2.2 CRD Touring,Magánszemély,(Harta),Minősített magánszemély,2006. 08.,131 000 km,1 349 000 Ft
RENAULT  Clio,Clio 1.5 dCi 20th Anniversary,Magánszemély,(Kecskemét),Minősített magánszemély,2011. 05.,257 220 km,1 559 999 Ft
RENAULT  Mégane,Mégane 1.5 dCi Authentique,Magánszemély,(Dunavecse),Minősített magánszemély,2010. 06.,264 986 km,1 595 000 Ft
OPEL  Astra,Astra 1.7 CDTI Cosmo,Magánszemély,(Szigetszentmiklós),Minősített magánszemély,2013. 07.,275 729 km,1 950 000 Ft
FORD  Focus,Focus 1.6 TDCi Trend,Magánszemély,(XVI. kerület),Minősített magánszemély,2011. 08.,262 420 km,1 990 000 Ft
FORD  Mondeo,Mondeo 2.0 Ghia Executive,Magánszemély,(Gyöngyös),Minősített magánszemély,2008. 03.,281 000 km,1 950 000 Ft
SKODA  Fabia,Fabia 1.2 TSI Ambiente,Magánszemély,(XI. kerület),Minősített magánszemély,2011. 01.,143 390 km,1 950 000 Ft
HYUNDAI  i10,i10 1.0i Comfort,Magánszemély,(Telki),Minősített magánszemély,2014. 06.,203 440 km,1 900 000 Ft
RENAULT  Fluence,Fluence 1.6 Confort EURO5,Magánszemély,(Csömör),Minősített magánszemély,2010. 06.,70 297 km,2 250 000 Ft
TOYOTA  Prius,Prius 1.5 HSD Aut.,Magánszemély,(Debrecen),Minősített magánszemély,2005. 06.,247 233 km,2 490 000 Ft
SSANGYONG  Rexton,Rexton 2.7 270 Xdi DSX Aut.,Magánszemély,(Debrecen),Minősített magánszemély,2005. 10.,96 680 km,2 650 000 Ft
RENAULT  Scénic,Grand Scénic 1.5 dCi TomTom EDC,Magánszemély,(Eger),Minősített magánszemély,2011. 05.,116 468 km,2 990 000 Ft
RENAULT  Clio,Clio Grandtour 1.5 dCi Energy Intens EURO6,Magánszemély,(Diósd),Minősített magánszemély,2016. 02.,153 450 km,2 990 000 Ft
FORD  Fiesta,Titanium-X ST-Line     FULL EXTRA,Magánszemély,(Nyíregyháza),Minősített magánszemély,2014. 01.,120 000 km,2 999 999 Ft
CITROEN  C-Elysée,C-Elysée 1.6 VTi Exclusive,Magánszemély,(Tata),Minősített magánszemély,2014. 07.,122 300 km,3 290 000 Ft
KIA  Sorento,2.2 CRDI PREMIUM AUTOMAT FULL-FULL EXTRA,Magánszemély,(Diósd),Minősített magánszemély,2011. 01.,360 000 km,3 299 000 Ft
SMART  Fortwo,Fortwo 1.0 Passion twinamic,Magánszemély,(Tolna),Minősített magánszemély,2016. 10.,69 700 km,3 590 000 Ft
SUZUKI  Vitara,Vitara 1.6 DDiS GL+ 4WD,Magánszemély,(Pilisszentiván),Minősített magánszemély,2017. 10.,173 000 km,3 600 000 Ft
SUBARU  Forester,Forester 2.0 D Exclusive,Magánszemély,(XI. kerület),Minősített magánszemély,2014. 06.,185 000 km,3 600 000 Ft
BMW  1-es sorozat,116i,Magánszemély,(Szeged),Minősített magánszemély,2012. 11.,133 000 km,3 780 000 Ft
SKODA  Fabia,Fabia Combi 1.0 TSI Ambition,Magánszemély,(Fót),Minősített magánszemély,2017. 09.,173 000 km,3 780 000 Ft
PEUGEOT  Partner,Partner 1.6 BlueHDi Active L1 EURO6,Magánszemély,(Biatorbágy),Minősített magánszemély,2018. 07.,225 938 km,3 700 000 Ft
SEAT  Leon,Leon ST 2.0 TDI FR Start&Stop Euro 6,Magánszemély,(Sarród),Minősített magánszemély,2016. 07.,230 200 km,3 790 000 Ft
AUDI  A6,A6 2.0 TDI DPF multitronic,Magánszemély,(XIV. kerület),Minősített magánszemély,2007. 07.,155 470 km,3 833 000 Ft
HONDA  Jazz,Jazz 1.4 Elegance Plus,Magánszemély,(Veresegyház),Minősített magánszemély,2014. 12.,87 884 km,3 990 000 Ft
SUBARU  Outback,Outback 2.5 Trend Aut.,Magánszemély,(III. kerület),Minősített magánszemély,2011. 02.,200 142 km,3 990 000 Ft
HONDA  Jazz,Jazz 1.4 Elegance,Magánszemély,(Gödöllő),Minősített magánszemély,2012. 03.,23 074 km,3 990 000 Ft
SKODA  Octavia,Octavia 2.0 CR TDI Style,Magánszemély,(Litér),Minősített magánszemély,2018. 04.,321 450 km,3 999 999 Ft
VOLKSWAGEN  Jetta,Jetta 1.4 TSI BMT Comfortline,Magánszemély,(Aba),Minősített magánszemély,2015. 07.,98 579 km,4 200 000 Ft
PEUGEOT  308,308 SW 1.6 BlueHDi Active,Magánszemély,(Komló),Minősített magánszemély,2016. 07.,159 600 km,4 295 000 Ft
OPEL  Crossland X,Crossland X 1.2 Enjoy,Magánszemély,(Almásfüzitő),Minősített magánszemély,2017. 12.,86 000 km,4 300 000 Ft
