	km	price	HorsePower	Engine	doors	people	Automata	Automatizált	Duplakuplung	Fokozatmentes	Manuális	Tiptronic	Eladó	Benzin	Benzin/Gáz	Dízel	Egyéb	Elektr.	Hibrid	Használt	Új	Minősített Prémium kereskedő	Minősített kereskedő	Minősített magánszemély	Márkakereskedő	Nem minősített eladó	Regisztrált kereskedő	ALFA	AUDI	BMW	CHEVROLET	CITROEN	DACIA	DAEWOO	DODGE	FIAT	FORD	HONDA	HYUNDAI	INFINITI	IVECO	JAGUAR	JEEP	KIA	LADA	LANCIA	LAND	LEXUS	MAZDA	MERCEDES-BENZ	MINI	MITSUBISHI	NISSAN	OPEL	PEUGEOT	PORSCHE	RENAULT	ROVER	SAAB	SEAT	SKODA	SMART	SSANGYONG	SUBARU	SUZUKI	TOYOTA	VOLKSWAGEN	VOLVO	Age	Location	Yearly_usage_in_km
17	115094	2099000	68	999	5	5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.695414099931554	0	13236.172386649874
18	159266	2189000	75	1248	3	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.284052019164956	1	30140.88419689119
20	122572	2289000	120	1368	3	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.695414099931554	1	14096.165931989925
21	159790	2289000	75	1461	5	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5.779603011635865	1	27647.227617243014
22	197496	2289000	90	1461	3	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6.863791923340178	1	28773.59952134025
23	187128	2289000	90	1461	3	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7.780971937029432	1	24049.437719915553
24	120910	2299000	69	1242	5	4	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.865845311430527	0	15371.52018795684
25	119000	2299000	90	1461	4	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.451745379876797	1	14079.931972789114
26	120390	2299000	120	1368	3	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.695414099931554	0	13845.229061712846
27	167619	2349000	99	1499	5	2	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4517453798767965	1	37652.4229704797
