	brand_mf	type	dealership_name	dealership_loc	dealership_evaluation	year	km	price	Km	HorsePower	Engine	Fuel_type	Kialakitas	Condition	Sale	doors	people	Transmission
25	DACIA  Dokker	DOKKER Van 1.5 dCi Ambiance 1Év garanciával!Magyarországi!Leinformálható!Áfás!Azonnal Elvihető!	BK 2020 Kft.	(III. kerület)	Minősített Prémium kereskedő	2015. 05.	119 000 km	2 299 000 Ft  + Áfa	119 000 km	90 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	4 ajtós	2 fő	Manuális
26	OPEL  Combo	Combo Van 1.4 T CNG L1H1 2.4t E6	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2015. 02.	120 390 km	2 299 000 Ft  + Áfa	120 390 km	120 LE	1368 cm3	Benzin/Gáz	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
27	PEUGEOT  208	208 1.5 BlueHDi Van Active 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2019. 05.	167 619 km	2 349 000 Ft  + Áfa	167 619 km	99 LE	1499 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
28	SKODA  Fabia	Fabia Combi 1.2 TSi Ambition 	B-A Autókereskedés és Autókölcsönző	(Keszthely)	Minősített Prémium kereskedő	2013. 12.	116 050 km	2 350 000 Ft	116 050 km	86 LE	1197 cm3	Benzin	Kombi	Használt	Eladó	5 ajtós	5 fő	Manuális
29	OPEL  Combo	1.6 CDTi 2.2t. Magyarországi szervizkönyves!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 03.	198 834 km	2 389 000 Ft  + Áfa	198 834 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
30	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2018. 04.	153 717 km	2 389 000 Ft  + Áfa	153 717 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
31	OPEL  Combo	1.6 CDTi 2.2t. Magyarországi szervizkönyves!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 03.	160 666 km	2 489 000 Ft  + Áfa	160 666 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
32	PEUGEOT  301	301 1.6 BlueHDi Active 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2015. 11.	126 348 km	2 489 000 Ft	126 348 km	99 LE	1560 cm3	Dízel	Lépcsőshátú	Használt	Eladó	4 ajtós	5 fő	Manuális
34	OPEL  Combo	Combo Van 1.3 CDTI L1H1 2.2t 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2015. 10.	80 584 km	2 589 000 Ft  + Áfa	80 584 km	90 LE	1248 cm3	Dízel	Kishaszon	Használt	Eladó	3 ajtós	2 fő	Manuális
35	PEUGEOT  208	208 1.5 BlueHDi Van Active 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2020. 01.	122 592 km	2 589 000 Ft  + Áfa	122 592 km	99 LE	1499 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
36	OPEL  Combo	1.6 CDTi 2.2t. Magyarországi szervizkönyves!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 05.	143 756 km	2 589 000 Ft  + Áfa	143 756 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
39	LADA  Kalina	Kalina 1.6 Lux	Globe-Auto Kft.	(Mezőkövesd)	Minősített Prémium kereskedő	2017. 01.	70 256 km	2 599 000 Ft	70 256 km	96 LE	1596 cm3	Benzin	Ferdehátú	Használt	Eladó	5 ajtós	5 fő	Manuális
40	FORD  Focus	Focus 1.0 EcoBoost Trend 	Hexa Autókereskedés	(Nyíregyháza)	Minősített Prémium kereskedő	2017. 08.	179 000 km	2 649 000 Ft	179 000 km	101 LE	999 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	4 ajtós	5 fő	Manuális
41	FORD  Fiesta	Fiesta 1.25 Technology 	3G Car Kft.	(Nyíregyháza)	Minősített Prémium kereskedő	2014. 07.	130 888 km	2 685 000 Ft	130 888 km	82 LE	1242 cm3	Benzin	Nincs adat a kivitelről	Használt	Eladó	5 ajtós	5 fő	Manuális
42	PEUGEOT  Partner	Partner 1.6 BlueHDi Active L1 EURO6 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2017. 10.	139 950 km	2 689 000 Ft  + Áfa	139 950 km	101 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	3 fő	Manuális
43	PEUGEOT  Partner	Partner 1.6 BlueHDi Active L1 EURO6 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2017. 10.	137 722 km	2 689 000 Ft  + Áfa	137 722 km	101 LE	1560 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	3 fő	Manuális
44	OPEL  Combo	1.6 CDTi 2.2t. M.o.-i, szervizkönyves, Polcos!	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2016. 04.	148 759 km	2 689 000 Ft  + Áfa	148 759 km	105 LE	1598 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
45	RENAULT  Clio	Clio Société 1.5 dCi Business Start&Stop 	Tromf-Car Kft.	(XIX. kerület)	Minősített Prémium kereskedő	2018. 04.	93 966 km	2 689 000 Ft  + Áfa	93 966 km	75 LE	1461 cm3	Dízel	Kishaszon	Használt	Eladó	5 ajtós	2 fő	Manuális
